Move Name,Video Link,Cues/Notes (Needs to be finished),,
Standing Quad Stretch,,"40-60 sec each side. Bend leg and grab with hand, use assistance for balance. Squeeze knees together and engage glute on stretched leg. ",,
MOVEMENTS,,,,
Straight Leg Calf Raise,https://youtu.be/Mbub-2M_AFA?si=emSXvUlLyXNAIm9I,"Feet hips width apart, legs straight. Drive through ball of foot, pause at top and control the descent. 10-16 reps ",,
Split Stance Calf Raise,https://youtu.be/Z-bkZLPLeXM?si=v7FJEm5cAZnu-zVZ,"Feet hips width part, staggered stance. Keep back heel high and weight over front foot. Calf raise front foot, pause at top and control the descent. 8-12 reps each ",,
Sumo Stance Calf Raise,https://youtu.be/ZdlsAWAR8zg?si=IySBGYGkrTKD65MX,"Wide straddle stance with feet, legs straight. Drive through ball of foot, pause at top and control the descent. 10-16 reps",,
Bent Knee Calf Raise,https://youtu.be/EeY39UJelvc?si=YTZH_FrGaRQhaMY6,"Feet hips width apart, bend legs driving knees forward. Drive through ball of foot, pause at top and control the descent. 10-16 reps ",,
Second Position Heel Raise,,"Start heels together with toes pointed out, step out 1-2 feet apart. Lift heel, pushing the floor away from ball of foot. ",,
Second Position Toe Raise,,"Start heels together with toes pointed out, step out 1-2 feet apart. Lift heel and ball of foot, pushing the floor away from toe. ",,
Pistol 1,https://youtu.be/RdZH1DW5RH8?si=PJezIRAriWcLmzOo,"From Kneeling position rotate torso over front leg. Drive through front foot to top lunge position with back leg locked out and heel high, bring torso to neutral position. Rotate torso before coming down and show control back to bottom. ",,
Pistol 2,https://youtu.be/q1xjdwmDdn0?si=-K1SnQ2kFZn0lrx9,"From Kneeling position rotate torso over front leg. Drive through front foot to top lunge position with back leg locked out and heel high, bring torso to neutral position. Bring back leg up to high knee position and show control. ",,
Pistol 3,https://youtu.be/w2n0nQPlfQY?si=L6NT2yBhGTUIqxnf,From Kneeling position rotate torso over front leg. Drive through front foot to top lunge position only using top of foot on back leg. Bring back leg up to high knee position and show control. ,,
Pistol 4,https://youtu.be/-7dVaulqBic?si=_9efwwgaVqJ6iU5n,From Kneeling position rotate torso over front leg. Drive through front foot to top lunge position with foam block elevating back foot off floor. Bring back leg up to high knee position and show control. ,,
Pistol 5,https://youtu.be/UPaKsVAmQD8?si=-tL9FuEkfX-knCnV,"One foot on high box, use a slight push off from floor and go to high knee position. Push hips back and show control as low as possible on eccentric phase. ",,
Pistol 6,https://youtu.be/B9OeG5UQYMM?si=lw_aSqoIXuyNZGnO,"Air squat down in hollow body position, body roll back lifting toes into sky using arms as support. Using falling momentum throw arms forward and plant both feet on floor. Complete air squat back to top. ",,
Pistol 7,https://youtu.be/IQYg3b1hQgE?si=upSmORU1TeVyEfAr,"Pistol squat down in hollow body position, body roll back lifting toes into sky using arms as support. Using falling momentum throw arms forward and plant both feet on floor. Complete air squat back to top. ",,
Pistol 8,https://youtu.be/IHH98OKejEk?si=EB3RMP61nZ06MbYG,From Kneeling position rotate torso over front leg. Drive front foot through floor to high knee position with back foot off floor the whole time. Show control to bottom without touching back foot. ,,
Pistol 9,HOW TO: PISTOL SQUAT Level 9,"Pistol squat down in hollow body position, body roll back lifting toes into sky using arms as support. Using falling momentum throw arms forward and plant one foot on floor. With torso over planted foot, complete pistol squat back to top. ",,
Pistol 10,https://youtu.be/PSc6o0nysRQ?si=1j-PLy2fRhHETT1K,"On one foot drive hips back with torso and head over foot. Squat down with control, keeping other foot off floor. Complete squat back up. ",,
Split Squat,https://youtu.be/WsrqvdfAfA0?si=a-tboZvDiLiBaqon,Start in high lunge position with feet hips width apart. Weight over front foot with back heel high the whole time. Keep shoulder blades squeezed together. Complete lunge motion up and down. ,,
Reverse Lunge,https://youtu.be/2rAQlvUpWn8?si=ACd5p79Nrx_LDIje,"Start with feet hips width apart, shift weight and torso over one leg. Lunge back on opposite leg, plant foot keeping heel high. Press through front foot to lunge back forward, drive hips through and squeeze glutes at top. ",,
SDL 1,https://youtu.be/eOsGxjNMZ8w?si=Hv0pH41vtqbIA9B0,"Start with feet hips width apart, shift weight over one leg. Use glider for opposite foot acting as slight support, start hinging with slight bend in working leg. Drive hips forward and squeeze glutes at top. ",,
SDL 2,https://youtu.be/CzADju_-XiI?si=D3kodAdBWj8UVmTC,"Start with feet hips width apart, weight over one leg. Use glider for opposite foot acting as slight support, start hinging with slight bend in working leg. Lift back leg and show control before driving back up to finish position.  ",,
SDL 3,https://youtu.be/N_5NgLwL2H8?si=kTB5RWzeGEoRM7qI,"Start in high knee position, weight over one leg. start hinging with slight bend in working leg. Back leg off floor whole time, show control at bottom and return to high knee position. ",,
SDL 4,https://youtu.be/Y2uPoNCun-w?si=8XvRHKZa4Iw8VNOr,"Start in high knee position with dumbell in hand (same hand as leg in high knee position), weight over one leg. start hinging with slight bend in working leg. Back leg off floor whole time, show control at bottom and return to high knee position. ",,
SDL 5,https://youtu.be/gt04QXE7aIc?si=lZXZuySz7xqBk98Y,"Start in high knee position with dumbell in hand (same hand as leg planted on floor), weight over one leg. start hinging with slight bend in working leg. Back leg off floor whole time, show control at bottom and return to high knee position. ",,
Shoulder Bridge,https://youtu.be/HXyTuuEqyWE?si=qspFpva8a4Lmb2C9,Fingers interlocked under hips. Squeeze shoulder blades together and externally rotate arms. Bridge hips and press pinkys through the floor. 8-12 reps,,
Straight Bridge,https://youtu.be/x483qtsw6-c?si=YvChpYC1sbW2Lv9z,"Legs squeezed together and straight. Hands placed below shoulders with finger facing towards feet. Squeeze shoulder blades together and drive hips up, gas pedal toes through floor at top. 8-12 reps ",,
Crab Bridge,https://youtu.be/6B6x9Q3NOmM?si=cpzCfeGbPRqIVeJV,Legs bent with feet hips width apart. Hands placed below shoulders with fingers facing back. Squeeze shoulder blades together and drive hips up. 8-12 reps,,
Thoracic Bridge,https://youtu.be/PojpIsNbQ48?si=EfYGudFFxaSEAfSA,"Leg bent with feet hips width apart. Bridge hips up and shift weight over one arm. Externally rotate bottom arm, reaching other arm into sky directly over bottom arm. Let top arm drop back to stretch. 3-6 reps each ",,
Neck Bridge,https://youtu.be/60qd3OrQEhY?si=g97EfxgTevd2SvFU,"Hands placed shoulder width apart in line with ears, fingers facing feet. Legs bent with feet hips width apart. Push through hands and bridge hips, place the crown of head on floor and hold. 10-30s hold",,
Full Bridge,https://youtu.be/lc0YpFD4xMU?si=KZB0aVsqRQbBmr5C,"Hands placed shoulder width apart in line with ears, fingers facing feet. Legs bent with feet hips width apart. Push through hands and bridge hips, straighten arms and legs as much as possible 10-30s hold",, 
